Facility Name,Facility Address,Nitrogen Oxides,PM10,PM2.5,Volatile Organic Compounds
.PETROLEUM DEV - SATER 11; 12; 21; 22-19,NW NW SEC 19 T4N R63W,1.75988,0.01,0.01,1.23188
1111 TOWER - FOUR SEASONS HOTEL,1111 14th St,7.7303,0.354318,0.354318,0.354318
31ST ST,Unknown,188.416,4.94288,4.79459,12.0311
36TH ST,Unknown,159.948,4.40207,4.27001,10.7554
910 GENERATION COMPANY,910 15TH ST STE 1050,11.16,0.4554,0.435309,1.5691
A & S CONSTRUCTION CO. - ASPHALT,6200 COUNTY ROAD 107,8.15006,0.97691,0.413866,5.879524
ABSMEIER LANDSCAPING  - MALOUFF,NE NE SEC 4 T36N R8E,0.4,1.048201,0.415919,0.05
ACA PRODUCTS; INC.,AVERY PIT,0.152334,12.418902,4.019908,0.217955
ACH FOAM TECHNOLOGIES-EPS PRODUCTS,5250 SHERMAN ST,2.72,0.2092,0.17477,92.74
ACME BRICK COMPANY,401 PRAIRIE HAWK DR,26.676,11.758967,7.946095,3.045
ADAMS COUNTY ANIMAL CONTROL CENTER,10705 FULTON ST,0.77964,0.29784,0.253567,0.0219
ADAMS MARK HOTEL DENVER,1550 COURT PL,54.4601,4.06276,4.061188,2.95336
AERO BEAR FIELD,Unknown,0.00279695,0.0101852,0.00702779,0.0064749
AG-AIR INC,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
AGAVE ENERGY - BIL HOL GULCH TREATING,SESW SEC 8 T11N R94W,8.58454,0.04,0.04,32.79228
AGGREGATE INDUSTRIES - DAHLIA HMA,4801 E 78TH AVE,22,5.68,1.33125,14.88
AGGREGATE INDUSTRIES - WCR; INC.,1161 W 64TH AVE,0.199713,0.035948,0.008425,0.065506
AGGREGATE INDUSTRIES - WCR; INC.,1587 COUNTY ROAD 20 1/2,15.13,38.99756,11.761176,8.8
AGGREGATE INDUSTRIES - WCR; INC.,2400 W OXFORD AVE,19.25,4.62,1.082812,16.835
AGGREGATE INDUSTRIES - WCR; INC.,30716 83RD AVENUE,2.4475,1.80592,1.80592,1.48513
AGGREGATE INDUSTRIES - WCR; INC.,8339 CONCORD CENTER DR,6.1854,0.610857,0.383466,4.967134
AGILENT TECHNOLOGIES,815 14TH ST SW,6.48629,0.466135,0.466135,0.340197
AHLBERG FUNERAL CHAPEL,326 TERRY ST,1.55928,2.83824,2.41634,0.1314
AIMS COMMUNITY COLLEGE,5401 W 20TH ST,7.84,0.08,0.08,0.16
AIR DUSTERS INC,Unknown,0.00371442,0.0135262,0.00933309,0.00859884
AIR-SPRAYERS NR 2,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
AKA ENERGY GROUP - GILCREST GAS,13472 COUNTY ROAD 40,77.3972,3.7342,3.7342,69.655994
AKA ENERGY GROUP - KERSEY,SW NW SEC 27 T5N R64W,10.4,0.33,0.33,42.527
ALCATEL-LUCENT USA,8742 LUCENT BLVD,0.002357,0.00003,0.00003,0.000051
ALL RITE PAVING & REDI MIX,200 SPECULATOR AVE,5.6,5.467,1.731473,0.1575
ALL RITE PAVING & REDI-MIX  - LA JUNTA,30783 E US HIGHWAY 50,1.0525,1.9742,1.670671,0.86325
ALL VETERANS - ALL SERVICES,1338 S JASON ST,0.122393,0.1661,0.14141,0.0006
ALL-RITE PAVING & REDI MIX,3610 FREEDOM RD,8.687,0.948467,0.555667,0.4025
ALLEGRO COFFEE CO,1930 CENTRAL AVE,0.06725,1.32,0.088,0.03
ALLIED WASTE SYSTEMS - TOWER LANDFILL,8480 TOWER RD,9.9,63.34,32.26721,18.85
ALLIED WASTE SYSTEMS-FOOTHILLS LANDFILL,8900 HIGHWAY 93,26.8056,22.19749,12.88749,41.37565
ALLNUTT FUNERAL SERVICE; INC.,2100 N LINCOLN AVE,2.11108,2.76338,2.352611,0.1779
ALLOSOURCE - TROY BUILDING,6278 S TROY CIR,0.769744,0.026572,0.026572,0.190486
ALLWEATHER WOOD; LLC,715 DENVER AVE,0.0078,0.051,0.0237042,1.625
ALPINE ANIMAL HOSP,17776 HWY 82,0.01246,0.016345,0.013915,0.0105
ALPINE ROASTERY; INC.,2860 S TEJON ST,0.018,0.0077,0.000513,0.055
ALSCO,3850 ELM ST,3.549,0.269724,0.269724,0.389745
ALSCO DENVER INDUSTRIAL,1850 S. ACOMA ST,3.66605,0.27862,0.27862,0.201633
AMAX MILL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
AMBROSICH FIELD,Unknown,0.00310245,0.0112977,0.00779541,0.00718212
AMERICAN GYPSUM COMPANY,740 HIGHWAY 6,146.05363,11.283837,5.556129,1.314961
AMERISOURCE BERGEN,501 W 44th Ave,2.42903,0.170748,0.170748,0.198288
AMES DIVERSIFIED SERVICES; LLC,3900 NIAGARA ST,1.18,0.44,0.374594,0.01
AMGEN BOULDER INC,5550 AIRPORT RD,6.139,0.13155,0.13155,0.12278
AMGEN; INC. - LONGMONT,4000 NELSON RD,1.965232,0.689079,0.688177,0.292385
ANADARKO E&P - MPU 22D-25 WELL SITE,SE NW SEC 25 T13S R48W,6.9,0.06,0.06,0.09
ANADARKO E&P CO. - GRAYS STATE 3 44-36,SE SE SEC 36 T12S R51W,13.6,0.043,0.043,0.25
ANADARKO E&P CO. - WILLIAMS 1 13-11,NW SW SEC 11 T13S R51W,8.5,0.02395,0.02395,0.33
ANADARKO E&P CO. - WILLIAMS 6 42-11,SE NE SEC 11 T13S R51W,8.5,0.02395,0.02395,0.33
ANADARKO E&P CO. - WILLIAMS 7 31-11,NW NE SEC 11 T13S R51W,8.5,0.02395,0.02395,0.33
ANDERSON,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ANDERSON FUNERAL SERVICE; LLC,1998 W 10TH AVE,0.06408,0.0963,0.0963,0.0054
ANGELUS FUNERAL DIRECTORS,1104 S CIRCLE DR,0.030113,0.005363,0.003567,0.002475
ANHEUSER-BUSCH; LLC,2351 BUSCH DR,73.92,13.171881,9.55399,233.06
ANIMAL HOSPITAL OF FALCON,11860 SWINGLINE RD,0.09,0.07,0.039873,0.09
ANTELOPE AIRPARK,Unknown,0.00343915,0.0125238,0.00864142,0.00796158
ANTERO RES - CASTLE SPRINGS CENTRAL,NW/4 SEC17 T7S R91W,18.3,0.25,0.25,6.11
ARAPAHOE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ARAPAHOE BASIN SKI AREA,28194 US HIGHWAY 6,13.989678,0.919475,0.919475,1
ARAPAHOE MEDICAL PARK/LITTLETON HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ARGALI EXPLORATION COMPANY-NORTH CRAIG C,SW SW SEC 29 T8N R90W,45.59,0.0797,0.0797,0.982083
ARKANSAS VALLEY ALFALFA,35590 US HWY 287,2.8,7.26,2.77475,0.056
ARKANSAS VALLEY CREMATORY,401 RATON AVE,0.01424,0.03984,0.033918,0.0012
ARKANSAS VALLEY RGNL MEDICAL CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ARS INC,7353 SMITH RD,0.739794,1.639455,1.539455,0.026929
ASH MESA,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ASHES TO ASHES,12840 6100 RD,0.144559,0.082431,0.070178,0.012182
ASPEN,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
ASPEN EARTHMOVING; LLC,818 INDUSTRY WAY,0.0003,0.000855,0.000555,0.000375
ASPEN MORTUARIES - LAKEWOOD CREMATORY,1350 SIMMS ST,0.77,0.36,0.306486,0.1
